TARGET_CLASS,criterion,configuration_id,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Random_Seed,BranchCoverage,CoverageEntropy
com.densebrain.rif.client.RIFClassLoader,BRANCH,MOSA,3,0,3,3,0,654,50,51,4000,2,2,5,5,1020,1.0,0.6931471805599453
com.densebrain.rif.client.RIFClassLoader,BRANCH,MOSA,3,0,3,3,0,620,50,51,4175,2,2,4,4,1026,1.0,0.6931471805599453
com.densebrain.rif.client.RIFClassLoader,BRANCH,MOSA,3,0,3,3,0,735,50,51,4637,2,2,4,4,1011,1.0,0.6931471805599453
com.densebrain.rif.client.RIFClassLoader,BRANCH,MOSA,3,0,3,3,0,674,50,51,4167,2,2,7,7,1018,1.0,0.6931471805599453
com.densebrain.rif.client.RIFClassLoader,BRANCH,MOSA,3,0,3,3,0,693,50,51,3608,2,2,5,5,1014,1.0,0.6931471805599453
com.densebrain.rif.client.RIFClassLoader,BRANCH,MOSA,3,0,3,3,0,652,50,51,3305,2,2,8,8,1008,1.0,0.6931471805599453
com.densebrain.rif.client.RIFClassLoader,BRANCH,MOSA,3,0,3,3,0,722,50,51,3424,2,2,5,5,1000,1.0,0.6931471805599453
com.densebrain.rif.client.RIFClassLoader,BRANCH,MOSA,3,0,3,3,0,629,50,51,4565,1,1,7,7,1015,1.0,1.0986122886681096
com.densebrain.rif.client.RIFClassLoader,BRANCH,MOSA,3,0,3,3,0,672,50,51,3630,1,1,5,5,1002,1.0,1.0986122886681096
com.densebrain.rif.client.RIFClassLoader,BRANCH,MOSA,3,0,3,3,0,648,50,51,3840,2,2,7,7,1005,1.0,0.6931471805599453
com.densebrain.rif.client.RIFClassLoader,BRANCH,MOSA,3,0,3,3,0,701,50,51,3383,1,1,3,3,1007,1.0,1.0986122886681096
com.densebrain.rif.client.RIFClassLoader,BRANCH,MOSA,3,0,3,3,0,695,50,51,4555,2,2,4,4,1017,1.0,0.6931471805599453
com.densebrain.rif.client.RIFClassLoader,BRANCH,MOSA,3,0,3,3,0,635,50,51,4079,1,1,3,3,1004,1.0,1.0986122886681096
com.densebrain.rif.client.RIFClassLoader,BRANCH,MOSA,3,0,3,3,0,725,50,51,5152,2,2,4,4,1001,1.0,0.6931471805599453
com.densebrain.rif.client.RIFClassLoader,BRANCH,MOSA,3,0,3,3,0,757,50,51,3658,2,2,8,8,1009,1.0,0.6931471805599453
com.densebrain.rif.client.RIFClassLoader,BRANCH,MOSA,3,0,3,3,0,598,50,51,4318,2,2,6,6,1019,1.0,0.6931471805599453
com.densebrain.rif.client.RIFClassLoader,BRANCH,MOSA,3,0,3,3,0,710,50,51,3577,2,2,7,7,1016,1.0,0.6931471805599453
